url,bilde,nosaukums,adrese,istabas,platiba,stavs,tips,cena
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/cpmfg.html,https://i.ss.com/gallery/7/1252/312786/62557118.th2.jpg,"Pārdod divistabu dzīvokli Jūrmalā Klusā, mierīgā un ainavi","KauguriTalsu šos. 31, korp. 2",2,44,4/5,Hrušč.,40000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/nichc.html,https://i.ss.com/gallery/5/968/241832/48366243.th2.jpg,"Добро пожаловать в прекрасную квартиру в новом проекте ""Фрег",BulduriMeža pr. 19,3,158,2/3,Jaun.,430000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulluciems/nxbpl.html,https://i.ss.com/gallery/7/1335/333666/66733109.th2.jpg,"Īpašnieks pārdod kompaktu 2 istabu dzīvokli, beletāžas stāvā",BuļļuciemsLašu 7,2,43,1/4,Specpr.,79900
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/cdldx.html,https://i.ss.com/gallery/7/1335/333670/66733999.th2.jpg,Светлая и тихая квартира в новом проекте около реки Лиелупе.,DzintariTuraidas 110,3,105,2/5,Jaun.,158000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/majori/bbxeij.html,https://i.ss.com/gallery/7/1243/310517/62103396.th2.jpg,"Saulains un gaišs divistabu dzīvoklis klusā apkaimē Jūrmalā,",MajoriJāņa Pliekšāna 92,2,47,4/5,LT proj.,52000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bliofd.html,https://i.ss.com/gallery/7/1234/308437/61687206.th2.jpg,Удобная квартира в новом проекте. Планировка: Просторная г,DzintariJaunā 80,3,102,2/3,Jaun.,192000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/cblpx.html,https://i.ss.com/gallery/7/1203/300553/60110527.th2.jpg,"Продается квартира на 3 этаже, выровнены потолки и стены, по",KauguriKauņas 26,1,40,3/5,Specpr.,33000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/bdolhx.html,https://i.ss.com/gallery/6/1150/287433/57486404.th2.jpg,"Dzīvoklis viesnīcas kompleksā, pastaigas attālumā no jūras,",BulduriVienības pr. 20,3,101,3/3,Jaun.,260000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulluciems/ocxcx.html,https://i.ss.com/gallery/7/1305/326124/65224722.th2.jpg,"Dzīvoklis mūsdienīgā kompleksā, gleznainā vietā Lielupes kra",BuļļuciemsTīklu 11a,3,78,1/5,Jaun.,185000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/bdoihk.html,https://i.ss.com/gallery/7/1221/305124/61024640.th2.jpg,"4-комнатная квартира с панорамным окнами, балконом и паркинг",BulduriRīgas 90,4,105,2/3,Jaun.,300000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/gpexo.html,https://i.ss.com/gallery/7/1231/307519/61503675.th2.jpg,"Renovēts gaišs, silts, mājīgs dzīvoklis ar panorāmas skatu l",KauguriSkolas 9,1,32,8/9,467,29500
https://www.ss.com/msg/lv/real-estate/flats/jurmala/asari/jcgec.html,https://i.ss.com/gallery/7/1297/324086/64817134.th2.jpg,Dzīvoklis rokas stiepiena attālumā no pludmales. Dzīvo,AsariAsaru pr. 53,3,85,1/4,Jaun.,185000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/ajdmd.html,https://i.ss.com/gallery/7/1335/333555/66710971.th2.jpg,"В продаже однокомнатная квартира с уютной планировкой, в 10",KauguriTerbatas 41,1,34,5/5,103,32500
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/eckeb.html,https://i.ss.com/gallery/7/1247/311661/62332011.th2.jpg,Pārdod remontējamu vienistabas dzīvokli ar teicamu atrašanās,KauguriSkolas 32,1,34,4/5,103,27500
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bdjkjn.html,https://i.ss.com/gallery/7/1226/306376/61275026.th2.jpg,~100 m no pludmales pārdodas mēbelēts 3 istabu dzīvoklis mod,DzintariDzintaru pr. 64,3,92,3/4,Jaun.,280000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dubulti/hlglj.html,https://i.ss.com/gallery/7/1335/333523/66704423.th2.jpg,Luksusa dzīvoklis ar dizaina remontu Jūrmalas sirdī jūsu ies,DubultiSlokas 55A,2,48,1/2,Renov.,112000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/kelon.html,https://i.ss.com/gallery/7/1335/333545/66708934.th2.jpg,Piedāvājam iegādāties izsmalcinātu un plašu penthaus dzīvokl,JaundubultiAmatas 1,5,206,4/4,Jaun.,800000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/majori/bxmphb.html,https://i.ss.com/gallery/7/1286/321390/64277872.th2.jpg,Предлагаем купить новые и просторные апартаменты в новом про,MajoriViktorijas 16,4,153,1/2,Specpr.,470000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/abmmp.html,https://i.ss.com/gallery/7/1335/333524/66704746.th2.jpg,"Tiek pārdots gaišs, silts dzīvoklis, ar skatu uz pagalmu. Tī",KauguriTalsu šoseja 31/2,2,43,4/5,Hrušč.,52000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/cfifke.html,https://i.ss.com/gallery/7/1284/320882/64176298.th2.jpg,Izcila plānojuma trīsistabu apartamenti ekskluzīvā projektā,JaundubultiStrēlnieku pr. 42,3,88,3/3,Jaun.,236275
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/binpie.html,https://i.ss.com/gallery/7/1284/320882/64176298.th2.jpg,Pārdod četristabu apartamentus ekskluzīvā projektā “Amber Re,JaundubultiStrēlnieku pr. 42,4,82,3/3,Jaun.,219878
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/ofbcj.html,https://i.ss.com/gallery/7/1286/321477/64295217.th2.jpg,Attīstītājs piedāvā iegādei 2-istabu apartamentus ekskluzīvā,JaundubultiStrēlnieku pr. 42,2,55,1/3,Jaun.,148646
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/mkpog.html,https://i.ss.com/gallery/7/1243/310524/62104751.th2.jpg,"Lat/rus/ Lat/rus/ Dzīvokļi no attīstītāja. Jauns, moderns, E",DzintariMežaparka pr. 10,2,79,1/2,Jaun.,239870
